Country,Year,Measure_group,OBS_VALUE_use
Armenia,1990,Domestic/Public Use,945.09997558594
Armenia,1995,Domestic/Public Use,555.29998779297
Armenia,1996,Domestic/Public Use,530.90002441406
Armenia,1997,Domestic/Public Use,456.39999389648
Armenia,1998,Domestic/Public Use,429.29998779297
Armenia,1999,Domestic/Public Use,444.39999389648
Armenia,2000,Domestic/Public Use,603.2
Armenia,2001,Domestic/Public Use,569.2
Armenia,2002,Domestic/Public Use,552.2
Armenia,2003,Domestic/Public Use,585.5
Armenia,2004,Domestic/Public Use,565.8
Armenia,2005,Domestic/Public Use,595.9
Armenia,2006,Domestic/Public Use,594.2
Armenia,2007,Domestic/Public Use,608.8
Armenia,2008,Domestic/Public Use,618.8
Armenia,2009,Domestic/Public Use,597.3
Armenia,2010,Domestic/Public Use,559.6
Armenia,2011,Domestic/Public Use,516.8
Armenia,2012,Domestic/Public Use,535.7
Armenia,2013,Domestic/Public Use,525.2
Armenia,2014,Domestic/Public Use,500.2
Armenia,2015,Domestic/Public Use,496.3
Armenia,2016,Domestic/Public Use,479.8
Armenia,2017,Domestic/Public Use,572.2
Armenia,2018,Domestic/Public Use,589.7
Armenia,2019,Domestic/Public Use,565.6
Armenia,2020,Domestic/Public Use,555.3
Armenia,2021,Domestic/Public Use,550.7
Austria,1980,Domestic/Public Use,942.3
Austria,1985,Domestic/Public Use,1030.1
Austria,1989,Domestic/Public Use,1022.6
Austria,1990,Domestic/Public Use,953.7
Austria,1991,Domestic/Public Use,1053.5
Austria,1992,Domestic/Public Use,1110.5
Austria,1993,Domestic/Public Use,1094.8
Austria,1994,Domestic/Public Use,1084.4
Austria,1995,Domestic/Public Use,948.5
Austria,1996,Domestic/Public Use,950.2
Austria,1997,Domestic/Public Use,947.5999999999999
Austria,1998,Domestic/Public Use,927.9
Austria,1999,Domestic/Public Use,898.1999999999999
Austria,2000,Domestic/Public Use,351.2
Austria,2001,Domestic/Public Use,353.5
Austria,2002,Domestic/Public Use,356.3
Austria,2010,Domestic/Public Use,968.0
Austria,2016,Domestic/Public Use,379.0
Austria,2017,Domestic/Public Use,375.77
Austria,2018,Domestic/Public Use,378.14
Austria,2021,Domestic/Public Use,390.77
Austria,2022,Domestic/Public Use,395.19
Azerbaijan,2003,Domestic/Public Use,600.4
Azerbaijan,2004,Domestic/Public Use,690.7
Azerbaijan,2005,Domestic/Public Use,695.4
Azerbaijan,2006,Domestic/Public Use,700.1
Azerbaijan,2007,Domestic/Public Use,664.9
Azerbaijan,2008,Domestic/Public Use,684.5
Azerbaijan,2009,Domestic/Public Use,663.6
Azerbaijan,2010,Domestic/Public Use,617.8
Azerbaijan,2011,Domestic/Public Use,714.4
Azerbaijan,2012,Domestic/Public Use,715.8
Azerbaijan,2013,Domestic/Public Use,718.4
Azerbaijan,2014,Domestic/Public Use,715.8
Azerbaijan,2015,Domestic/Public Use,692.0
Azerbaijan,2016,Domestic/Public Use,662.0
Azerbaijan,2017,Domestic/Public Use,630.7
Azerbaijan,2018,Domestic/Public Use,639.4
Azerbaijan,2019,Domestic/Public Use,673.6
Azerbaijan,2020,Domestic/Public Use,689.367
Azerbaijan,2021,Domestic/Public Use,655.109
Belarus,2001,Domestic/Public Use,886.6
Belarus,2002,Domestic/Public Use,899.3
Belarus,2003,Domestic/Public Use,888.6
Belarus,2004,Domestic/Public Use,863.0
Belarus,2005,Domestic/Public Use,833.9
Belarus,2006,Domestic/Public Use,809.9
Belarus,2007,Domestic/Public Use,767.2
Belarus,2008,Domestic/Public Use,714.5
Belarus,2009,Domestic/Public Use,650.1
Belarus,2010,Domestic/Public Use,650.2
Belarus,2011,Domestic/Public Use,590.7
Belarus,2012,Domestic/Public Use,616.1
Belarus,2013,Domestic/Public Use,622.5
Belarus,2014,Domestic/Public Use,619.8
Belarus,2015,Domestic/Public Use,601.2
Belarus,2016,Domestic/Public Use,573.1
Belarus,2017,Domestic/Public Use,553.2
Belarus,2018,Domestic/Public Use,539.6
Belarus,2019,Domestic/Public Use,535.4
Belarus,2020,Domestic/Public Use,532.6
Belarus,2021,Domestic/Public Use,544.4
Belgium,1990,Industry,0.2
Belgium,1994,Domestic/Public Use,602.4
Belgium,1995,Agriculture,16.0
Belgium,1995,Domestic/Public Use,1095.9
Belgium,1995,Energy Production,2.3
Belgium,1995,Industry,273.0
Belgium,1995,Services,114.1
Belgium,1996,Agriculture,16.7
Belgium,1996,Domestic/Public Use,416.8
Belgium,1996,Energy Production,3.5
Belgium,1996,Industry,196.6
Belgium,1997,Agriculture,15.2
Belgium,1997,Domestic/Public Use,415.3
Belgium,1997,Energy Production,3.0
Belgium,1997,Industry,203.5
Belgium,1998,Agriculture,15.7
Belgium,1998,Domestic/Public Use,414.8
Belgium,1998,Energy Production,1.9
Belgium,1998,Industry,202.9
Belgium,1999,Agriculture,13.6
Belgium,1999,Domestic/Public Use,409.6
Belgium,1999,Energy Production,2.1
Belgium,1999,Industry,210.10000000000002
Belgium,2000,Agriculture,12.60102
Belgium,2000,Domestic/Public Use,871.8873000000001
Belgium,2000,Energy Production,1.940325
Belgium,2000,Industry,337.12278399999997
Belgium,2000,Services,83.6795
Belgium,2001,Agriculture,13.71987
Belgium,2001,Domestic/Public Use,868.6718999999999
Belgium,2001,Energy Production,1.892836
Belgium,2001,Industry,332.468545
Belgium,2001,Services,76.53761
Belgium,2002,Agriculture,12.26052
Belgium,2002,Domestic/Public Use,976.6912
Belgium,2002,Energy Production,1.652635
Belgium,2002,Industry,320.388306
Belgium,2002,Services,79.78703
Belgium,2003,Agriculture,12.41224
Belgium,2003,Domestic/Public Use,984.701
Belgium,2003,Energy Production,1.338418
Belgium,2003,Industry,324.693687
Belgium,2003,Services,84.58403
Belgium,2004,Agriculture,12.50466
Belgium,2004,Domestic/Public Use,990.3274000000001
Belgium,2004,Energy Production,2.614468
Belgium,2004,Industry,326.546941
Belgium,2004,Services,89.66734
Belgium,2005,Agriculture,10.66669
Belgium,2005,Domestic/Public Use,943.4443
Belgium,2005,Energy Production,1.76862
Belgium,2005,Industry,327.737151
Belgium,2005,Services,87.67159
Belgium,2006,Agriculture,11.24843
Belgium,2006,Domestic/Public Use,986.4992
Belgium,2006,Energy Production,1.945213
Belgium,2006,Industry,334.716486
Belgium,2006,Services,88.95842
Belgium,2007,Agriculture,10.97737
Belgium,2007,Domestic/Public Use,986.9852000000001
Belgium,2007,Energy Production,1.744605
Belgium,2007,Industry,329.794692
Belgium,2007,Services,91.57854
Belgium,2008,Agriculture,10.12086
Belgium,2008,Domestic/Public Use,960.9209000000001
Belgium,2008,Energy Production,1.786607
Belgium,2008,Industry,308.884985
Belgium,2008,Services,88.18909
Belgium,2009,Agriculture,10.19106
Belgium,2009,Domestic/Public Use,951.7735
Belgium,2009,Energy Production,1.780407
Belgium,2009,Industry,289.024227
Belgium,2009,Services,87.34718
Belgium,2010,Agriculture,10.4224
Belgium,2010,Domestic/Public Use,961.6869999999999
Belgium,2010,Energy Production,1.801136
Belgium,2010,Industry,314.321397
Belgium,2010,Services,87.31072
Belgium,2011,Agriculture,9.548162
Belgium,2011,Domestic/Public Use,945.9935
Belgium,2011,Energy Production,1.643579
Belgium,2011,Industry,321.54170799999997
Belgium,2011,Services,88.94945
Belgium,2012,Agriculture,9.407714
Belgium,2012,Domestic/Public Use,919.7875
Belgium,2012,Energy Production,1.340787
Belgium,2012,Industry,315.139
Belgium,2012,Services,101.2046
Belgium,2013,Agriculture,9.269554
Belgium,2013,Domestic/Public Use,925.4994
Belgium,2013,Energy Production,1.245422
Belgium,2013,Industry,273.581778
Belgium,2013,Services,101.8648
Belgium,2014,Agriculture,9.241592
Belgium,2014,Domestic/Public Use,928.3813
Belgium,2014,Energy Production,1.265303
Belgium,2014,Industry,260.332601
Belgium,2014,Services,102.3593
Belgium,2015,Agriculture,9.184016
Belgium,2015,Domestic/Public Use,931.2032
Belgium,2015,Energy Production,1.069818
Belgium,2015,Industry,275.543304
Belgium,2015,Services,99.58253
Belgium,2016,Agriculture,9.121987
Belgium,2016,Domestic/Public Use,922.3757
Belgium,2016,Energy Production,0.8115247
Belgium,2016,Industry,273.573795
Belgium,2016,Services,100.4671
Belgium,2017,Agriculture,9.453719
Belgium,2017,Domestic/Public Use,924.4765
Belgium,2017,Energy Production,0.810017
Belgium,2017,Industry,281.486473
Belgium,2017,Services,99.72442
Belgium,2018,Agriculture,9.709339
Belgium,2018,Domestic/Public Use,929.1188
Belgium,2018,Energy Production,0.881739
Belgium,2018,Industry,281.761475
Belgium,2018,Services,103.1731
Belgium,2019,Agriculture,10.15174
Belgium,2019,Domestic/Public Use,932.5792
Belgium,2019,Energy Production,0.921627
Belgium,2019,Industry,273.347732
Belgium,2019,Services,105.2913
Belgium,2020,Agriculture,10.58132
Belgium,2020,Domestic/Public Use,942.3849
Belgium,2020,Energy Production,0.94399
Belgium,2020,Industry,269.25993700000004
Belgium,2020,Services,99.07318
Belgium,2021,Agriculture,10.18993
Belgium,2021,Domestic/Public Use,951.2573
Belgium,2021,Energy Production,1.030966
Belgium,2021,Industry,272.987709
Belgium,2021,Services,97.7362
Bulgaria,1990,Agriculture,86.8
Bulgaria,1990,Domestic/Public Use,1614.3000000000002
Bulgaria,1990,Energy Production,1.5
Bulgaria,1990,Industry,1106.8
Bulgaria,1990,Services,299.1
Bulgaria,1991,Agriculture,60.7
Bulgaria,1991,Domestic/Public Use,1435.3
Bulgaria,1991,Energy Production,26.6
Bulgaria,1991,Industry,631.6
Bulgaria,1991,Services,237.9
Bulgaria,1992,Agriculture,47.3
Bulgaria,1992,Domestic/Public Use,1301.2
Bulgaria,1992,Energy Production,14.3
Bulgaria,1992,Industry,555.0999999999999
Bulgaria,1992,Services,220.2
Bulgaria,1993,Agriculture,23.1
Bulgaria,1993,Domestic/Public Use,1148.1
Bulgaria,1993,Energy Production,14.8
Bulgaria,1993,Industry,419.29999999999995
Bulgaria,1993,Services,176.8
Bulgaria,1994,Agriculture,12.3
Bulgaria,1994,Domestic/Public Use,1058.6
Bulgaria,1994,Energy Production,14.8
Bulgaria,1994,Industry,376.3
Bulgaria,1994,Services,135.7
Bulgaria,1995,Agriculture,9.6
Bulgaria,1995,Domestic/Public Use,897.1
Bulgaria,1995,Energy Production,4.7
Bulgaria,1995,Industry,454.6
Bulgaria,1995,Services,113.5
Bulgaria,1996,Agriculture,7.8
Bulgaria,1996,Domestic/Public Use,908.2
Bulgaria,1996,Energy Production,3.0
Bulgaria,1996,Industry,305.6
Bulgaria,1996,Services,103.4
Bulgaria,1997,Agriculture,5.8
Bulgaria,1997,Domestic/Public Use,757.8
Bulgaria,1997,Energy Production,3.0
Bulgaria,1997,Industry,256.9
Bulgaria,1997,Services,82.3
Bulgaria,1998,Agriculture,4.9
Bulgaria,1998,Domestic/Public Use,817.7
Bulgaria,1998,Energy Production,3.3
Bulgaria,1998,Industry,232.60000000000002
Bulgaria,1998,Services,88.1
Bulgaria,1999,Agriculture,4.2
Bulgaria,1999,Domestic/Public Use,767.1
Bulgaria,1999,Energy Production,3.9
Bulgaria,1999,Industry,207.8
Bulgaria,1999,Services,88.7
Bulgaria,2000,Agriculture,1.82
Bulgaria,2000,Domestic/Public Use,762.05
Bulgaria,2000,Energy Production,4.42
Bulgaria,2000,Industry,217.98999999999998
Bulgaria,2000,Services,88.14
Bulgaria,2001,Agriculture,1.66
Bulgaria,2001,Domestic/Public Use,697.1500000000001
Bulgaria,2001,Energy Production,3.71
Bulgaria,2001,Industry,181.03
Bulgaria,2001,Services,79.43
Bulgaria,2002,Agriculture,1.79
Bulgaria,2002,Domestic/Public Use,648.11
Bulgaria,2002,Energy Production,3.72
Bulgaria,2002,Industry,183.67
Bulgaria,2002,Services,65.32
Bulgaria,2003,Agriculture,1.57
Bulgaria,2003,Domestic/Public Use,665.97
Bulgaria,2003,Energy Production,4.05
Bulgaria,2003,Industry,175.22
Bulgaria,2003,Services,59.04
Bulgaria,2004,Agriculture,3.79
Bulgaria,2004,Domestic/Public Use,651.7
Bulgaria,2004,Energy Production,3.94
Bulgaria,2004,Industry,170.46
Bulgaria,2004,Services,56.18
Bulgaria,2005,Agriculture,2.84
Bulgaria,2005,Domestic/Public Use,642.8399999999999
Bulgaria,2005,Energy Production,5.21
Bulgaria,2005,Industry,165.70000000000002
Bulgaria,2005,Services,58.34
Bulgaria,2006,Agriculture,2.99
Bulgaria,2006,Domestic/Public Use,667.47
Bulgaria,2006,Energy Production,4.38
Bulgaria,2006,Industry,183.5
Bulgaria,2006,Services,57.95
Bulgaria,2007,Agriculture,2.77
Bulgaria,2007,Domestic/Public Use,678.7
Bulgaria,2007,Energy Production,5.6
Bulgaria,2007,Industry,166.5
Bulgaria,2007,Services,55.4
Bulgaria,2008,Agriculture,2.94
Bulgaria,2008,Domestic/Public Use,669.25
Bulgaria,2008,Energy Production,2.12
Bulgaria,2008,Industry,161.20000000000002
Bulgaria,2008,Services,56.35
Bulgaria,2009,Agriculture,2.86
Bulgaria,2009,Domestic/Public Use,656.25
Bulgaria,2009,Energy Production,2.4
Bulgaria,2009,Industry,138.39
Bulgaria,2009,Services,50.07
Bulgaria,2010,Agriculture,2.6
Bulgaria,2010,Domestic/Public Use,635.75
Bulgaria,2010,Energy Production,2.33
Bulgaria,2010,Industry,128.64000000000001
Bulgaria,2010,Services,47.21
Bulgaria,2011,Agriculture,2.86
Bulgaria,2011,Domestic/Public Use,636.5899999999999
Bulgaria,2011,Energy Production,2.1
Bulgaria,2011,Industry,126.59
Bulgaria,2011,Services,46.7
Bulgaria,2012,Agriculture,3.15
Bulgaria,2012,Domestic/Public Use,646.45
Bulgaria,2012,Energy Production,1.9
Bulgaria,2012,Industry,126.18
Bulgaria,2012,Services,45.48
Bulgaria,2013,Agriculture,3.14
Bulgaria,2013,Domestic/Public Use,648.51
Bulgaria,2013,Energy Production,1.71
Bulgaria,2013,Industry,132.41
Bulgaria,2013,Services,43.03
Bulgaria,2014,Agriculture,3.33
Bulgaria,2014,Domestic/Public Use,617.16
Bulgaria,2014,Energy Production,1.6
Bulgaria,2014,Industry,128.35000000000002
Bulgaria,2014,Services,40.07
Bulgaria,2015,Agriculture,3.51
Bulgaria,2015,Domestic/Public Use,639.5
Bulgaria,2015,Energy Production,1.09
Bulgaria,2015,Industry,140.1
Bulgaria,2015,Services,44.61
Bulgaria,2016,Agriculture,4.57
Bulgaria,2016,Domestic/Public Use,651.1
Bulgaria,2016,Energy Production,1.05
Bulgaria,2016,Industry,158.77
Bulgaria,2016,Services,43.68
Bulgaria,2017,Agriculture,2.98
Bulgaria,2017,Domestic/Public Use,653.96
Bulgaria,2017,Energy Production,2.19
Bulgaria,2017,Industry,158.27
Bulgaria,2017,Services,50.22
Bulgaria,2018,Agriculture,2.53
Bulgaria,2018,Domestic/Public Use,639.0999999999999
Bulgaria,2018,Energy Production,2.12
Bulgaria,2018,Industry,145.66
Bulgaria,2018,Services,50.49
Bulgaria,2019,Agriculture,3.74
Bulgaria,2019,Domestic/Public Use,631.04
Bulgaria,2019,Energy Production,1.98
Bulgaria,2019,Industry,142.59
Bulgaria,2019,Services,46.2
Bulgaria,2020,Agriculture,3.623
Bulgaria,2020,Domestic/Public Use,623.318
Bulgaria,2020,Energy Production,1.905
Bulgaria,2020,Industry,123.217
Bulgaria,2020,Services,36.122
Bulgaria,2021,Agriculture,3.249
Bulgaria,2021,Domestic/Public Use,622.636
Bulgaria,2021,Energy Production,1.386
Bulgaria,2021,Industry,122.231
Bulgaria,2021,Services,38.969
Croatia,1995,Agriculture,130.0
Croatia,1995,Domestic/Public Use,668.0
Croatia,1995,Industry,158.0
Croatia,1995,Services,28.0
Croatia,1996,Agriculture,151.0
Croatia,1996,Domestic/Public Use,709.0
Croatia,1996,Industry,162.0
Croatia,1996,Services,28.0
Croatia,1997,Agriculture,159.0
Croatia,1997,Domestic/Public Use,714.0
Croatia,1997,Industry,159.0
Croatia,1997,Services,30.0
Croatia,1998,Agriculture,171.0
Croatia,1998,Domestic/Public Use,717.0
Croatia,1998,Industry,139.0
Croatia,1998,Services,27.0
Croatia,1999,Agriculture,200.0
Croatia,1999,Domestic/Public Use,698.0
Croatia,1999,Industry,122.0
Croatia,1999,Services,26.0
Croatia,2000,Agriculture,2.0
Croatia,2000,Domestic/Public Use,474.764
Croatia,2000,Energy Production,0.35
Croatia,2000,Industry,85.9519992
Croatia,2000,Services,69.168
Croatia,2001,Agriculture,2.0
Croatia,2001,Domestic/Public Use,489.543
Croatia,2001,Energy Production,0.35
Croatia,2001,Industry,84.461
Croatia,2001,Services,68.085
Croatia,2002,Agriculture,2.0
Croatia,2002,Domestic/Public Use,457.355
Croatia,2002,Energy Production,0.35
Croatia,2002,Industry,85.156
Croatia,2002,Services,61.352
Croatia,2003,Agriculture,2.0
Croatia,2003,Domestic/Public Use,478.62800000000004
Croatia,2003,Energy Production,0.35
Croatia,2003,Industry,86.776
Croatia,2003,Services,63.031
Croatia,2004,Agriculture,2.0
Croatia,2004,Domestic/Public Use,460.37
Croatia,2004,Energy Production,0.35
Croatia,2004,Industry,87.626
Croatia,2004,Services,55.919
Croatia,2005,Agriculture,2.0
Croatia,2005,Domestic/Public Use,452.178
Croatia,2005,Energy Production,0.35
Croatia,2005,Industry,85.84
Croatia,2005,Services,50.947
Croatia,2006,Agriculture,2.0
Croatia,2006,Domestic/Public Use,452.501
Croatia,2006,Energy Production,0.35
Croatia,2006,Industry,84.488
Croatia,2006,Services,49.881
Croatia,2007,Agriculture,2.0
Croatia,2007,Domestic/Public Use,457.97799999999995
Croatia,2007,Energy Production,0.342
Croatia,2007,Industry,75.102
Croatia,2007,Services,47.925
Croatia,2008,Agriculture,2.0
Croatia,2008,Domestic/Public Use,474.359
Croatia,2008,Energy Production,0.378
Croatia,2008,Industry,86.61800000000001
Croatia,2008,Services,68.296
Croatia,2009,Agriculture,2.0
Croatia,2009,Domestic/Public Use,486.327
Croatia,2009,Energy Production,0.368
Croatia,2009,Industry,106.68299999999999
Croatia,2009,Services,70.091
Croatia,2010,Agriculture,2.0
Croatia,2010,Domestic/Public Use,497.57099999999997
Croatia,2010,Energy Production,0.267
Croatia,2010,Industry,107.551
Croatia,2010,Services,69.123
Croatia,2011,Agriculture,2.0
Croatia,2011,Domestic/Public Use,473.054
Croatia,2011,Energy Production,0.271
Croatia,2011,Industry,86.177
Croatia,2011,Services,68.503
Croatia,2012,Agriculture,2.0
Croatia,2012,Domestic/Public Use,466.79999999999995
Croatia,2012,Energy Production,0.273
Croatia,2012,Industry,69.012
Croatia,2012,Services,66.937
Croatia,2013,Agriculture,2.0
Croatia,2013,Domestic/Public Use,472.64300000000003
Croatia,2013,Energy Production,0.198
Croatia,2013,Industry,57.709
Croatia,2013,Services,58.503
Croatia,2014,Agriculture,2.0
Croatia,2014,Domestic/Public Use,424.099
Croatia,2014,Energy Production,0.189
Croatia,2014,Industry,60.273
Croatia,2014,Services,52.797
Croatia,2015,Agriculture,2.0
Croatia,2015,Domestic/Public Use,450.28700000000003
Croatia,2015,Energy Production,0.189
Croatia,2015,Industry,67.81099999999999
Croatia,2015,Services,60.613
Croatia,2016,Agriculture,2.0
Croatia,2016,Domestic/Public Use,425.63300000000004
Croatia,2016,Energy Production,0.18
Croatia,2016,Industry,55.989
Croatia,2016,Services,52.323
Croatia,2017,Agriculture,2.0
Croatia,2017,Domestic/Public Use,406.631
Croatia,2017,Energy Production,0.186
Croatia,2017,Industry,55.199999999999996
Croatia,2017,Services,41.554
Croatia,2018,Agriculture,2.0
Croatia,2018,Domestic/Public Use,411.384
Croatia,2018,Energy Production,0.114
Croatia,2018,Industry,59.68
Croatia,2018,Services,43.058
Croatia,2019,Agriculture,2.0
Croatia,2019,Domestic/Public Use,411.40200000000004
Croatia,2019,Energy Production,0.13
Croatia,2019,Industry,59.783
Croatia,2019,Services,43.136
Croatia,2020,Agriculture,2.0
Croatia,2020,Domestic/Public Use,408.307
Croatia,2020,Energy Production,0.088
Croatia,2020,Industry,55.513999999999996
Croatia,2020,Services,42.151
Croatia,2021,Agriculture,2.0
Croatia,2021,Domestic/Public Use,409.606
Croatia,2021,Energy Production,0.08
Croatia,2021,Industry,54.312000000000005
Croatia,2021,Services,43.834
Croatia,2022,Agriculture,2.0
Croatia,2022,Domestic/Public Use,419.35
Croatia,2022,Energy Production,0.08
Croatia,2022,Industry,56.72
Croatia,2022,Services,44.0
Denmark,1985,Domestic/Public Use,965.7
Denmark,1985,Industry,129.6
Denmark,1985,Services,52.8
Denmark,1989,Domestic/Public Use,947.8
Denmark,1990,Domestic/Public Use,912.6
Denmark,1990,Industry,103.0
Denmark,1990,Services,51.2
Denmark,1991,Domestic/Public Use,881.2
Denmark,1992,Domestic/Public Use,859.6
Denmark,1993,Domestic/Public Use,822.4
Denmark,1993,Industry,110.0
Denmark,1993,Services,50.0
Denmark,1994,Domestic/Public Use,793.9
Denmark,1994,Industry,103.1
Denmark,1994,Services,46.2
Denmark,1995,Domestic/Public Use,470.0
Denmark,1996,Domestic/Public Use,509.0
Denmark,1997,Domestic/Public Use,464.7
Denmark,1998,Domestic/Public Use,440.1
Denmark,1999,Domestic/Public Use,422.0
